,AMD16_Normal,AMD16_Reordered,AMD64_Normal,AMD64_Reordered,AMD48_Normal,AMD48_Reordered,AMD128_Normal,AMD128_Reordered,SKY32_Normal,SKY32_Reordered,ICE72_Normal,ICE72_Reordered,ARM_Normal,ARM_Reordered,HUA_Normal,HUA_Reordered
./LAW/webbase-2001/webbase-2001.mtx,0.199153,0.367358,0.132868,1.448142,0.075104,0.132966,0.060778,0.179909,0.248071,0.383456,0.066137,0.171433,0.20829,0.50418,0.095756,0.163655
./LAW/it-2004/it-2004.mtx,0.177677,0.312185,0.185688,0.900042,0.114518,0.21815,0.076415,0.14683,0.170358,0.636149,0.096315,0.563362,0.463795,1.044115,0.123206,0.596106
./LAW/sk-2005/sk-2005.mtx,0.231348,0.525479,1.44062,1.375175,0.141796,0.59646,0.100127,0.34661,0.354516,0.787034,0.116321,0.565125,0.635271,1.386037,0.21385,0.940878
./Mycielski/mycielskian20/mycielskian20.mtx,0.356741,0.615303,3.439882,1.609371,0.658865,0.907335,0.373049,0.631131,0.49068,1.27496,0.735741,0.6949,0.775271,2.293953,1.011961,2.199504
./SNAP/com-Friendster/com-Friendster.mtx,2.467206,3.925031,1.708135,2.270851,2.541442,2.506614,1.855732,1.536339,1.547348,3.396588,0.822938,1.090695,4.086336,3.224274,2.779885,2.678558
./SNAP/twitter7/twitter7.mtx,3.536113,4.020812,2.849441,3.663478,3.252828,4.057063,2.261417,1.971006,2.900958,3.762,1.218261,1.770266,3.397641,4.392367,3.785161,3.988072
./Sybrandt/MOLIERE_2016/MOLIERE_2016.mtx,0,0,14.821494,8.411462,11.961826,7.832131,9.259801,5.917874,13.926306,8.131754,5.950994,4.177279,14.82415,12.066645,17.827415,0
./GAP/GAP-twitter/GAP-twitter.mtx,2.897081,2.664425,2.245124,2.303173,2.228999,1.518042,1.536775,1.591342,2.198941,2.253276,0.737241,1.192058,2.163577,0,0,0
./GAP/GAP-web/GAP-web.mtx,0.229644,0.522896,1.272979,1.541844,1.110916,0.265827,0.09933,0.445171,0.647508,0.845849,0.118088,0.435741,0,0,0,0
./GAP/GAP-kron/GAP-kron.mtx,2.546252,7.898165,3.316195,10.858309,2.613728,5.130328,1.995364,4.737036,2.539354,14.598422,1.146109,5.733826,0,0,0,0
./GAP/GAP-urand/GAP-urand.mtx,3.838401,2.42756,3.416329,2.50245,5.057888,4.28849,3.584082,2.833464,2.942618,1.695867,1.150295,0.935769,0,0,0,0
./Sybrandt/AGATHA_2015/AGATHA_2015.mtx,0,0,14.093216,0,9.487829,8.52215,8.351691,0,9.922739,0,4.776758,0,0,0,0,0
./Schenk/nlpkkt160/nlpkkt160.mtx,0.2005431,0.1162017,0.3965668,0.0950322,0.1775566,0.0461236,0.2037076,0.041006,0.174107,0.0741167,0.0101521,0.0098675,0.2678895,0.1493781,0.1615848,0.0507546
./Schenk/nlpkkt200/nlpkkt200.mtx,0.166121,0.0952665,0.2291537,0.0568605,0.1757207,0.0392182,0.1834252,0.0334878,0.1560975,0.0591373,0.0202866,0.020358,0.1944366,0.1195857,0.1343369,0.0435918
